23900;3,28
24000;3,22
24100;3,69
24200;3,98
24300;3,44
24400;2,98
24500;3,17
24600;3,38
24700;3,34
24800;4,18
24900;3,25
25000;4,22
25100;3,1
25200;4,02
25300;3,65
25400;3,45
25500;3,85
25600;3,36
25700;3,85
25800;3,48
25900;3,35
26000;3,66
26100;3,99
26200;4,24
26300;3,57
26400;4,12
26500;3,37
26600;3,42
26700;4,1
26800;3,58
26900;4,18
27000;4,09
27100;3,33
27200;3,82
27300;3,52
27400;3,6
27500;3,08
27600;3,88
27700;3,35
27800;3,69
27900;3,88
28000;3,52
28100;3,1
28200;2,89
28300;3,02
28400;3,53
28500;3,44
28600;3,47
28700;3,59
28800;3,17
28900;3,95
29000;3,32
29100;3,13
29200;3,63
29300;3,73
29400;3,91
29500;3,73
29600;2,92
29700;2,66
29800;3,93
29900;2,98
30000;3,75
30100;3,92
30200;3,69
30300;3,95
30400;3,96
30500;3,77
30600;3,64
30700;3,37
30800;3,9
30900;3,48
31000;3,55
31100;3,55
31200;3,51
31300;3,42
31400;4,03
31500;3,14
31600;3,99
31700;2,97
31800;3,82
31900;2,86
32000;3,29
32100;3,53
32200;3,53
32300;3,54
32400;2,83
32500;3,24
32600;3,68
32700;3,94
32800;3,27
32900;2,63
33000;3,34
33100;3,29
33200;3,04
33300;2,79
33400;3,91
33500;3,05
33600;3,31
33700;3,13
33800;3,01
33900;2,82
34000;3,52
34100;3,63
34200;3,54
34300;2,97
34400;2,83
34500;2,86
34600;3,45
34700;3,24
34800;3,26
34900;3,0
35000;3,87
35100;3,41
35200;3,39
35300;3,94
35400;3,83
35500;3,86
35600;3,48
35700;3,26
35800;4,23
35900;3,24
36000;3,6
36100;3,92
36200;4,59
36300;3,83
36400;4,17
36500;3,65
36600;3,35
36700;3,09
36800;3,87
36900;3,73
37000;3,21
37100;3,91
37200;4,18
37300;4,19
37400;3,97
37500;3,47
37600;2,89
37700;3,61
37800;5,86
37900;4,48
38000;3,52
38100;3,57
38200;3,56
38300;4,33
38400;3,44
38500;3,29
38600;3,5
38700;3,34
38800;3,46
38900;3,09
39000;3,78
39100;3,39
39200;4,3
39300;3,67
39400;3,52
39500;3,78
39600;4,34
39700;3,82
39800;5,32
39900;4,55
40000;3,68
40100;4,18
40200;4,4
40300;4,81
40400;5,27
40500;3,95
40600;4,49
40700;3,94
40800;3,95
40900;4,75
41000;4,16
41100;4,67
41200;4,36
41300;5,05
41400;3,78
41500;4,73
41600;3,62
41700;3,87
41800;4,54
41900;3,95
42000;4,1
42100;4,67
42200;5,11
42300;4,81
42400;4,44
42500;5,29
42600;4,62
42700;3,97
42800;5,13
42900;4,46
43000;3,61
43100;5,25
43200;4,84
43300;4,87
43400;5,14
43500;4,27
43600;4,19
43700;5,26
43800;5,33
43900;5,69
44000;4,51
44100;5,41
44200;6,06
44300;4,03
44400;4,92
44500;4,44
44600;5,33
44700;7,31
44800;5,61
44900;4,89
45000;5,18
45100;5,2
45200;4,6
45300;5,3
45400;3,95
45500;4,65
45600;5,11
45700;4,95
45800;6,66
45900;5,22
46000;7,13
46100;5,29
46200;5,28
46300;4,49
46400;5,29
46500;4,79
46600;4,91
46700;5,39
46800;5,21
46900;5,32
47000;4,58
47100;5,64
47200;5,26
47300;4,88
47400;4,65
47500;4,11
47600;4,93
47700;6,33
47800;5,03
47900;4,92
48000;5,85
48100;5,1
48200;6,2
48300;4,89
48400;5,25
48500;5,21
48600;4,68
48700;7,34
48800;5,38
48900;4,49
49000;5,19
49100;7,16
49200;4,83
49300;5,14
49400;5,4
49500;5,35
49600;4,09
49700;4,61
49800;4,86
49900;4,74
50000;7,13
50100;3,6
50200;3,49
50300;3,68
50400;3,31
50500;3,72
50600;3,26
50700;3,49
50800;3,44
50900;3,57
51000;3,99
51100;3,65
51200;3,71
51300;3,24
51400;3,45
51500;3,58
51600;3,13
51700;2,98
51800;3,07
51900;3,17
52000;2,95
52100;3,66
52200;3,42
52300;3,13
52400;2,72
52500;2,19
52600;3,12
52700;2,81
52800;2,88
52900;2,6
53000;2,76
53100;2,29
53200;2,65
53300;2,56
53400;2,68
53500;2,5
53600;2,44
53700;2,11
53800;2,65
53900;2,61
54000;2,91
54100;2,47
54200;2,26
54300;2,87
54400;2,8
54500;2,39
54600;2,54
54700;2,44
54800;2,41
54900;1,99
55000;2,66
55100;2,27
55200;2,29
55300;2,28
55400;2,43
55500;2,58
55600;2,61
55700;2,28
55800;1,96
55900;2,56
56000;2,66
56100;2,32
56200;2,46
56300;2,32
56400;2,61
56500;2,35
56600;2,68
56700;2,11
56800;2,29
56900;2,16
57000;2,54
57100;2,94
57200;2,77
57300;2,58
57400;2,56
57500;1,85
57600;2,06
57700;2,04
57800;1,82
57900;2,16
58000;2,39
58100;1,98
58200;2,12
58300;1,96
58400;1,82
58500;1,57
58600;2,05
58700;2,22
58800;2,11
58900;1,63
59000;1,71
59100;1,79
59200;1,61
59300;2,1
59400;2,07
59500;1,98
59600;1,86
59700;1,59
59800;2,07
59900;2,02
60000;2,02
